Selected,Cluster,Silhouette,Silhouette (Cluster),Selected (1),petal length,petal width,sepal width,sepal length
No,C1,0.724457,0.851134,No,1.4,0.2,3.5,5.1
No,C1,0.720286,0.828785,No,1.4,0.2,3.0,4.9
No,C1,0.721649,0.836035,No,1.3,0.2,3.2,4.7
No,C1,0.718712,0.820481,No,1.5,0.2,3.1,4.6
No,C1,0.723675,0.846906,No,1.4,0.2,3.6,5.0
No,C1,0.707994,0.765632,No,1.7,0.4,3.9,5.4
No,C1,0.720306,0.828891,No,1.4,0.3,3.4,4.6
No,C1,0.725103,0.854638,No,1.5,0.2,3.4,5.0
No,C1,0.710578,0.778593,No,1.4,0.2,2.9,4.4
No,C1,0.721906,0.837406,No,1.5,0.1,3.1,4.9
No,C1,0.716553,0.809195,No,1.5,0.2,3.7,5.4
No,C1,0.722765,0.842007,No,1.6,0.2,3.4,4.8
No,C1,0.719502,0.82464,No,1.4,0.1,3.0,4.8
No,C1,0.708474,0.768031,No,1.1,0.1,3.0,4.3
No,C1,0.698458,0.719166,No,1.2,0.2,4.0,5.8
No,C1,0.687638,0.668806,No,1.5,0.4,4.4,5.7
No,C1,0.711532,0.783419,No,1.3,0.4,3.9,5.4
No,C1,0.724248,0.850003,No,1.4,0.3,3.5,5.1
No,C1,0.70112,0.731934,No,1.7,0.3,3.8,5.7
No,C1,0.719147,0.82277,No,1.5,0.3,3.8,5.1
No,C1,0.714983,0.801063,No,1.7,0.2,3.4,5.4
No,C1,0.720313,0.828932,No,1.5,0.4,3.7,5.1
No,C1,0.714665,0.799426,No,1.0,0.2,3.6,4.6
No,C1,0.717313,0.813154,No,1.7,0.5,3.3,5.1
No,C1,0.714492,0.798533,No,1.9,0.2,3.4,4.8
No,C1,0.718314,0.818389,No,1.6,0.2,3.0,5.0
No,C1,0.722505,0.840615,No,1.6,0.4,3.4,5.0
No,C1,0.723017,0.843366,No,1.5,0.2,3.5,5.2
No,C1,0.723318,0.844983,No,1.4,0.2,3.4,5.2
No,C1,0.720677,0.83086,No,1.6,0.2,3.2,4.7
No,C1,0.720567,0.830278,No,1.6,0.2,3.1,4.8
No,C1,0.716887,0.81093,No,1.5,0.4,3.4,5.4
No,C1,0.709251,0.771917,No,1.5,0.1,4.1,5.2
No,C1,0.701967,0.736027,No,1.4,0.2,4.2,5.5
No,C1,0.721906,0.837406,No,1.5,0.1,3.1,4.9
No,C1,0.7218,0.83684,No,1.2,0.2,3.2,5.0
No,C1,0.715198,0.802174,No,1.3,0.2,3.5,5.5
No,C1,0.721906,0.837406,No,1.5,0.1,3.1,4.9
No,C1,0.71269,0.789306,No,1.3,0.2,3.0,4.4
No,C1,0.724547,0.851624,No,1.5,0.2,3.4,5.1
No,C1,0.723863,0.84792,No,1.3,0.3,3.5,5.0
No,C1,0.69256,0.691422,No,1.3,0.3,2.3,4.5
No,C1,0.715103,0.801683,No,1.3,0.2,3.2,4.4
No,C1,0.717453,0.813885,No,1.6,0.6,3.5,5.0
No,C1,0.708911,0.770213,No,1.9,0.4,3.8,5.1
No,C1,0.719472,0.824479,No,1.4,0.3,3.0,4.8
No,C1,0.718218,0.817887,No,1.6,0.2,3.8,5.1
No,C1,0.720332,0.82903,No,1.4,0.2,3.2,4.6
No,C1,0.718917,0.821556,No,1.5,0.2,3.7,5.3
No,C1,0.724917,0.853629,No,1.4,0.2,3.3,5.0
No,C2,0.685089,0.65728,No,4.7,1.4,3.2,7.0
No,C2,0.68848,0.672641,No,4.5,1.5,3.2,6.4
No,C2,0.694125,0.698715,No,4.9,1.5,3.1,6.9
No,C2,0.634755,0.450592,No,4.0,1.3,2.3,5.5
No,C2,0.694818,0.701958,No,4.6,1.5,2.8,6.5
No,C2,0.678072,0.626155,No,4.5,1.3,2.8,5.7
No,C2,0.693402,0.695336,No,4.7,1.6,3.3,6.3
No,C1,0.52363,0.0743718,No,3.3,1.0,2.4,4.9
No,C2,0.689975,0.679483,No,4.6,1.3,2.9,6.6
No,C2,0.612932,0.370461,No,3.9,1.4,2.7,5.2
No,C2,0.5217,0.0682797,No,3.5,1.0,2.0,5.0
No,C2,0.672042,0.600092,No,4.2,1.5,3.0,5.9
No,C2,0.637822,0.462232,No,4.0,1.0,2.2,6.0
No,C2,0.695034,0.702971,No,4.7,1.4,2.9,6.1
No,C2,0.59241,0.298754,No,3.6,1.3,2.9,5.6
No,C2,0.681992,0.643431,No,4.4,1.4,3.1,6.7
No,C2,0.677127,0.622031,No,4.5,1.5,3.0,5.6
No,C2,0.647132,0.498227,No,4.1,1.0,2.7,5.8
No,C2,0.681884,0.642955,No,4.5,1.5,2.2,6.2
No,C2,0.624949,0.414025,No,3.9,1.1,2.5,5.6
No,C2,0.693503,0.695807,No,4.8,1.8,3.2,5.9
No,C2,0.658675,0.544348,No,4.0,1.3,2.8,6.1
No,C2,0.698135,0.71763,No,4.9,1.5,2.5,6.3
No,C2,0.689869,0.679,No,4.7,1.2,2.8,6.1
No,C2,0.679542,0.632602,No,4.3,1.3,2.9,6.4
No,C2,0.684474,0.654513,No,4.4,1.4,3.0,6.6
No,C2,0.693789,0.697142,No,4.8,1.4,2.8,6.8
No,C2,0.701421,0.733385,No,5.0,1.7,3.0,6.7
No,C2,0.689633,0.677917,No,4.5,1.5,2.9,6.0
No,C2,0.567317,0.214692,No,3.5,1.0,2.6,5.7
No,C2,0.60726,0.350327,No,3.8,1.1,2.4,5.5
No,C2,0.587964,0.283605,No,3.7,1.0,2.4,5.5
No,C2,0.638902,0.466359,No,3.9,1.2,2.7,5.8
No,C2,0.700386,0.728397,No,5.1,1.6,2.7,6.0
No,C2,0.668066,0.583227,No,4.5,1.5,3.0,5.4
No,C2,0.680835,0.638307,No,4.5,1.6,3.4,6.0
No,C2,0.693677,0.696619,No,4.7,1.5,3.1,6.7
No,C2,0.677589,0.624045,No,4.4,1.3,2.3,6.3
No,C2,0.649402,0.507162,No,4.1,1.3,3.0,5.6
No,C2,0.637961,0.462765,No,4.0,1.3,2.5,5.5
No,C2,0.66202,0.558049,No,4.4,1.2,2.6,5.5
No,C2,0.691795,0.687876,No,4.6,1.4,3.0,6.1
No,C2,0.648076,0.501933,No,4.0,1.2,2.6,5.8
No,C1,0.513635,0.0428616,No,3.3,1.0,2.3,5.0
No,C2,0.659375,0.547199,No,4.2,1.3,2.7,5.6
No,C2,0.65758,0.539893,No,4.2,1.2,3.0,5.7
No,C2,0.662677,0.560758,No,4.2,1.3,2.9,5.7
No,C2,0.679173,0.63098,No,4.3,1.3,2.9,6.2
No,C1,0.561012,0.194057,No,3.0,1.1,2.5,5.1
No,C2,0.656398,0.535107,No,4.1,1.3,2.8,5.7
No,C2,0.689625,0.677877,No,6.0,2.5,3.3,6.3
No,C2,0.697167,0.71303,No,5.1,1.9,2.7,5.8
No,C2,0.694004,0.698149,No,5.9,2.1,3.0,7.1
No,C2,0.702367,0.737964,No,5.6,1.8,2.9,6.3
No,C2,0.699041,0.721949,No,5.8,2.2,3.0,6.5
No,C2,0.677372,0.623098,No,6.6,2.1,3.0,7.6
No,C2,0.643442,0.48384,No,4.5,1.7,2.5,4.9
No,C2,0.685834,0.660637,No,6.3,1.8,2.9,7.3
No,C2,0.696739,0.711005,No,5.8,1.8,2.5,6.7
No,C2,0.681754,0.642377,No,6.1,2.5,3.6,7.2
No,C2,0.701757,0.73501,No,5.1,2.0,3.2,6.5
No,C2,0.704265,0.747217,No,5.3,1.9,2.7,6.4
No,C2,0.701139,0.732025,No,5.5,2.1,3.0,6.8
No,C2,0.691085,0.684596,No,5.0,2.0,2.5,5.7
No,C2,0.690848,0.683499,No,5.1,2.4,2.8,5.8
No,C2,0.699317,0.723269,No,5.3,2.3,3.2,6.4
No,C2,0.703626,0.744093,No,5.5,1.8,3.0,6.5
No,C2,0.667776,0.582005,No,6.7,2.2,3.8,7.7
No,C2,0.670429,0.59322,No,6.9,2.3,2.6,7.7
No,C2,0.68988,0.67905,No,5.0,1.5,2.2,6.0
No,C2,0.695879,0.706947,No,5.7,2.3,3.2,6.9
No,C2,0.689211,0.675983,No,4.9,2.0,2.8,5.6
No,C2,0.674435,0.61036,No,6.7,2.0,2.8,7.7
No,C2,0.702638,0.739282,No,4.9,1.8,2.7,6.3
No,C2,0.698003,0.717002,No,5.7,2.1,3.3,6.7
No,C2,0.690198,0.680509,No,6.0,1.8,3.2,7.2
No,C2,0.701303,0.732816,No,4.8,1.8,2.8,6.2
No,C2,0.701371,0.733146,No,4.9,1.8,3.0,6.1
No,C2,0.70196,0.735995,No,5.6,2.1,2.8,6.4
No,C2,0.691767,0.687746,No,5.8,1.6,3.0,7.2
No,C2,0.687087,0.666305,No,6.1,1.9,2.8,7.4
No,C2,0.667729,0.581808,No,6.4,2.0,3.8,7.9
No,C2,0.700999,0.731347,No,5.6,2.2,2.8,6.4
No,C2,0.702494,0.73858,No,5.1,1.5,2.8,6.3
No,C2,0.695108,0.703321,No,5.6,1.4,2.6,6.1
No,C2,0.68051,0.636871,No,6.1,2.3,3.0,7.7
No,C2,0.693739,0.696909,No,5.6,2.4,3.4,6.3
No,C2,0.702918,0.740645,No,5.5,1.8,3.1,6.4
No,C2,0.69839,0.718845,No,4.8,1.8,3.0,6.0
No,C2,0.699543,0.724352,No,5.4,2.1,3.1,6.9
No,C2,0.697578,0.714983,No,5.6,2.4,3.1,6.7
No,C2,0.69568,0.706008,No,5.1,2.3,3.1,6.9
No,C2,0.697167,0.71303,No,5.1,1.9,2.7,5.8
No,C2,0.694772,0.701744,No,5.9,2.3,3.2,6.8
No,C2,0.693506,0.695822,No,5.7,2.5,3.3,6.7
No,C2,0.699515,0.724217,No,5.2,2.3,3.0,6.7
No,C2,0.700742,0.730112,No,5.0,1.9,2.5,6.3
No,C2,0.704263,0.747209,No,5.2,2.0,3.0,6.5
No,C2,0.694926,0.702462,No,5.4,2.3,3.4,6.2
No,C2,0.699432,0.72382,No,5.1,1.8,3.0,5.9
